ID,Name,Package
100,Virgin TV Showcase,Mixit
101,BBC One HD,Mixit
102,BBC Two HD,Mixit
103EW,STV HD,Mixit
103N,UTV HD,Mixit
103S,STV HD,Mixit
104ESN,Channel 4 HD,Mixit
104W,S4C HD,Mixit
105,Channel 5 HD,Mixit
106,E4 HD,Mixit
107EN,BBC Three HD,Mixit
107WS,BBC Four HD,Mixit
108EN,BBC Four HD,Mixit
108W,Channel 4 HD,Mixit
109,Sky One HD,Entertainment
110,Sky Witness HD,Entertainment
112,Sky Comedy HD,Maxit
113EN,TLC HD,Lifestyle
113WS,BBC Three HD,Mixit
114,U&Alibi HD,Drama
115,ITV2 HD,Entertainment
116,U&Drama HD,Mixit
117,ITV3 HD,Entertainment
118,ITV4 HD,Entertainment
119,ITV Quiz HD,Entertainment
120,5USA,Mixit
121,Sky Documentaries HD,Maxit
122,Sky Crime HD,Maxit
123,Sky Arts HD,Maxit
124,U&GOLD HD,Entertainment
125,U&W HD,Mixit
126,5STAR,Mixit
127,U&Dave HD,Mixit
128EN,Quest HD,Mixit
128WS,TLC HD,Lifestyle
129,U&Yesterday HD,Mixit
130,5ACTION HD,Mixit
131,Sky HISTORY HD,Documentaries
132,Comedy Central HD,Entertainment
133,Crime + Investigation HD,Documentaries
134,MTV HD,Lifestyle
135,Sky Nature HD,Maxit
136,Together TV,Mixit
137EN,Quest Red,Mixit
137WS,Quest HD,Mixit
138,5Select,Mixit
139,Challenge,Mixit
140,Sky Sci-Fi HD,Maxit
143,4Seven HD,Mixit
144,E4 Extra,Mixit
146WS,Quest Red,Mixit
147,More4 HD,Entertainment
148,True Crime,Mixit
149,Legend,Mixit
150,That's TV,Mixit
151,That's TV 2,Mixit
152,That's TV 3,Mixit
154,Comedy Central Extra,Lifestyle
156,Sky Mix HD,Drama
159,Regional Channels,Mixit
161,BBC Alba,Mixit
162,5USA,Mixit
164,S4C HD,Mixit
165,Really,Mixit
166,Investigation Discovery,Documentaries
168,Food Network,Mixit
169,DMAX,Documentaries
170,Great! TV,Mixit
171,Legend Xtra,Documentaries
172,True Crime Xtra,Lifestyle
174,BLAZE,Mixit
